virus_name	viral_acc	evidence	report_host	host_taxid	host_lineage	host_tax_rank
Salmonella phage Se-B	NC_049495	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage Se-G	NC_049496	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage Se-J	NC_049497	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SE1 (in:Nonagvirus)	NC_042025	Literature	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SE1 (in:Nonagvirus)	NC_042025	Literature, RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SE1 (in:P22virus)	NC_011802	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SE11	NC_048786	RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SE14	NC_049512	RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SE2	NC_016763	RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SE24	NC_048785	RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage Seafire	NC_048110	RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage Season12	NC_052990	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Newport	108619	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage Segz_1	NC_054640	NCBI Virus, RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SEN1	NC_029003	RefSeq	Salmonella enterica subsp. salamae	59202	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	subspecies
Salmonella phage SEN22	NC_028696	NCBI Virus	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SEN22	NC_028696	RefSeq	Salmonella enterica subsp. diarizonae	59204	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	subspecies
Salmonella phage SEN34	NC_028699	RefSeq	Salmonella enterica subsp. diarizonae	59204	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	subspecies
Salmonella phage SEN4	NC_029015	RefSeq	Salmonella enterica subsp. salamae	59202	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	subspecies
Salmonella phage SEN5	NC_028701	NCBI Virus	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SEN5	NC_028701	RefSeq	Salmonella enterica subsp. salamae	59202	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	subspecies
Salmonella phage SEN8	NC_047753	RefSeq	Salmonella enterica subsp. salamae	59202	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	subspecies
Salmonella phage SenALZ1	NC_049440	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SenASZ3	NC_049439	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage Sepoy	NC_048760	RefSeq	Salmonella enterica subsp. enterica serovar Heidelberg	611	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SeSz-1	NC_049443	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SeSz-2	NC_054643	NCBI Virus, RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage Seszw_1	NC_054642	NCBI Virus, RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SETP13	NC_022752	Literature, RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SETP3	NC_009232	Literature	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SETP7	NC_022754	Literature, RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SeWh-1	NC_053000	NCBI Virus, RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SeZq-1	NC_053001	NCBI Virus, RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SFP10	NC_016073	RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SG1	NC_054936	RefSeq	Salmonella enterica subsp. enterica serovar Gallinarum	594	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage Sh19	NC_019530	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SH9	NC_047999	RefSeq	Salmonella enterica subsp. enterica serovar Hadar	149385	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage Shivani	NC_028754	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage Si3	NC_041922	RefSeq	Salmonella enterica subsp. enterica serovar Infantis	595	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SI7	NC_049460	RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage Siskin	NC_048727	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	strain
Salmonella phage SJ46	NC_031129	RefSeq	Salmonella enterica subsp. enterica serovar Indiana	286783	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage Skate	NC_054639	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage slyngel	NC_049821	RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SP01	NC_047859	RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SP069	NC_042062, NC_042063, NC_042064	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SP1	NC_049396	RefSeq	Salmonella enterica subsp. enterica serovar Pullorum	605	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SP3	NC_048001	RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SPC32H	KC911856	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SPC32N	KC911857	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SPN1S	NC_016761	Literature	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SPN3UB	NC_019545	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SPN3US	NC_027402	Literature	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	strain
Salmonella phage SPN9CC	NC_017985	NCBI Virus, RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SPN9TCW	JQ691610	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SS3e	NC_006940	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SS9	NC_049458	RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage SSU5	NC_018843	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	strain
Salmonella phage ST160	NC_014900	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage ST64B	NC_004313	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage ST64T	NC_004348	RefSeq, UniProt	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage STG2	NC_048089	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage STP4-a	NC_026607	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage Sw2	NC_048062	RefSeq	Salmonella enterica subsp. enterica serovar Kentucky	192955	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage SW9	NC_049459	RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage Th1	NC_048795	RefSeq	Salmonella enterica subsp. enterica serovar Gallinarum	594	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage TS13	NC_053004	NCBI Virus	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage TS13	NC_053004	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	strain
Salmonella phage UPF_BP1	NC_047875	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Brandenburg	149387	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage UPF_BP2	NC_048649	RefSeq	Salmonella enterica subsp. enterica	59201	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	subspecies
Salmonella phage vB-SalM-PM10	NC_031128	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SalP_TR2	NC_055921	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Albany	211968	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SalS_ABTNLsp1	NC_053003	NCBI Virus, RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage vB_SenM-S16	NC_020416	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage vB_SenS-Ent2	NC_023608	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS-Ent3	NC_024204	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_AG11	NC_041991	RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_BPS1	NC_052994	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_BPS2	NC_052995	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_BPS4	NC_052996	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_ER19	NC_052993	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_ER24	NC_052999	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_ER3	NC_053006	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_ER6	NC_053007	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_PHB07	NC_047947	RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage vB_SenS_Sasha	NC_047786	RefSeq	Salmonella enterica subsp. enterica serovar Kentucky	192955	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_SB13	NC_048781	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SenS_SB28	NC_054638	NCBI Virus	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage vB_SenS_SB28	NC_054638	RefSeq	Salmonella enterica subsp. enterica serovar Typhi	90370	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_Se_STGO-35-1	NC_054648	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SnwM_CGG4-1	NC_031065	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Newport	108619	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage vB_SPuM_SP116	NC_027329	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage vB_SpuP_Spp16	NC_047941	RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage VB_StyS_BS5	NC_054646	NCBI Virus, RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage Vi II-E1	NC_010495	NCBI Virus, RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella phage Vi06	NC_015271	RefSeq	Salmonella enterica subsp. enterica serovar Typhi	90370	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage yarpen	NC_048863	RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage YSP2	NC_047898	RefSeq	Salmonella enterica subsp. enterica serovar Pullorum	605	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella phage ZCSE2	NC_048179	RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus BTP1	NC_042346	NCBI Virus	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella virus Chi	NC_021315, NC_025442	NCBI Virus, RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella virus Fels2	NC_010463	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	strain
Salmonella virus FSLSP030	NC_021779	Literature	Salmonella enterica subsp. enterica serovar Dublin	98360	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus FSLSP088	NC_021780	Literature	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus iEPS5	NC_021783	NCBI Virus	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella virus iEPS5	NC_021783	RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus KFS-SE2	NC_054641	Literature, NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus P22	NC_002371	NCBI Virus, RefSeq, UniProt	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus SP126	NC_042066	NCBI Virus, RefSeq	Salmonella enterica	28901	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella virus SP6	NC_004831	NCBI Virus, RefSeq, UniProt	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus SPC35	NC_015269	RefSeq	Escherichia coli	562	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	species
Salmonella virus SPC35	NC_015269	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus SPN19	NC_019417	NCBI Virus, RefSeq	Salmonella sp.	599	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	species
Salmonella virus Stitch	NC_027297	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus ViI	NC_015296	NCBI Virus, RefSeq, UniProt	Salmonella enterica subsp. enterica serovar Typhi	90370	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus VSe12	NC_048794	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Enteritidis	149539	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Salmonella virus VSt472	NC_054644	NCBI Virus, RefSeq	Salmonella enterica subsp. enterica serovar Typhimurium	90371	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	strain
Serratia phage 2050H2	NC_047844	RefSeq	Serratia marcescens	615	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage BF	NC_041917	RefSeq	Serratia marcescens	615	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage CHI14	NC_041996	RefSeq	Serratia sp. ATCC 39006	104623	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage Eta	NC_021563	Literature	Serratia marcescens	615	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage JS26	NC_053012	NCBI Virus, RefSeq	Serratia sp. ATCC 39006	104623	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage KpYy_1_41	NC_052991	NCBI Virus, RefSeq	Klebsiella pneumoniae	573	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella	species
Serratia phage Moabite	NC_048792	RefSeq	Serratia marcescens	615	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage MTx	NC_048759	RefSeq	Serratia marcescens	615	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage Muldoon	NC_049464	RefSeq	Serratia marcescens	615	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage MyoSmar	NC_048800	RefSeq	Serratia marcescens	615	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage Parlo	NC_048758	RefSeq	Serratia marcescens	615	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage phiMAM1	NC_020083	RefSeq	Serratia sp.	616	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
Serratia phage PhiZZ30	NC_054938	RefSeq	Serratia sp. ATCC 39006	104623	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia	species
