virus_name	viral_acc	evidence	report_host	host_taxid	host_lineage	host_tax_rank
Staphylococcus virus phiETA2	NC_008798	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus phiETA3	NC_008799	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus phiMR11	NC_010147	NCBI Virus, RefSeq, UniProt	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus phiMR25	NC_010808	NCBI Virus, RefSeq, UniProt	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus phiSLT	NC_002661	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus SA11	NC_019511	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus SAP26	NC_014460	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus Twort	NC_007021	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Staphylococcus virus X2	NC_007065	NCBI Virus, RefSeq	Staphylococcus aureus	1280	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	species
Stenotrophomonas phage IME-SM1	NC_054952	RefSeq	Stenotrophomonas sp.	69392	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas	species
Stenotrophomonas phage IME13	NC_029000	RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage IME15	NC_019416	RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage Mendera	NC_048804	RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage Moby	NC_048802	RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage phiSHP2	NC_015586	NCBI Virus, RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage Pokken	NC_049463	RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage S1	NC_011589	NCBI Virus, RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage SMA6	NC_043029	RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage SMA7	NC_021569	RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage SMA9	NC_007189	RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage Smp131	NC_023588	RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage vB_SmaS-DLP_2	NC_029019	NCBI Virus, RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage vB_SmaS_DLP_5	NC_042082	RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Stenotrophomonas phage YB07	NC_048755	NCBI Virus, RefSeq	Stenotrophomonas maltophilia	40324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	species
Streptococcus phage 20617	NC_023503	NCBI Virus, RefSeq	Streptococcus thermophilus DSM 20617	1091038	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus thermophilus	strain
Streptococcus phage 315.1	NC_004584	NCBI Virus, RefSeq	Streptococcus pyogenes MGAS315	198466	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pyogenes; Streptococcus pyogenes serotype M3	strain
Streptococcus phage 315.2	NC_004585	NCBI Virus, RefSeq	Streptococcus pyogenes MGAS315	198466	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pyogenes; Streptococcus pyogenes serotype M3	strain
Streptococcus phage 315.3	NC_004586	NCBI Virus, RefSeq	Streptococcus pyogenes MGAS315	198466	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pyogenes; Streptococcus pyogenes serotype M3	strain
Streptococcus phage 315.4	NC_004587	NCBI Virus, RefSeq	Streptococcus pyogenes MGAS315	198466	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pyogenes; Streptococcus pyogenes serotype M3	strain
Streptococcus phage 315.5	NC_004588	NCBI Virus, RefSeq	Streptococcus pyogenes MGAS315	198466	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pyogenes; Streptococcus pyogenes serotype M3	strain
Streptococcus phage 315.6	NC_004589	NCBI Virus, RefSeq	Streptococcus pyogenes MGAS315	198466	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pyogenes; Streptococcus pyogenes serotype M3	strain
Streptococcus phage 5093	NC_012753	NCBI Virus, RefSeq	Streptococcus thermophilus	1308	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage 7201	NC_002185	RefSeq	Streptococcus thermophilus	1308	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage A25	NC_028697	NCBI Virus, RefSeq	Streptococcus pyogenes	1314	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage APCM01	NC_029030	NCBI Virus, RefSeq	Streptococcus mutans	1309	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage CP-7	NC_042114	RefSeq, UniProt	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage Cp1	NC_001825	RefSeq, UniProt	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage DCC1738	NC_024361	NCBI Virus, RefSeq	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage Dp-1	NC_015274	NCBI Virus, RefSeq, UniProt	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage EJ-1	NC_005294	Literature, NCBI Virus, RefSeq	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage IC1	NC_024370	NCBI Virus, RefSeq	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage JX01	JX409895	NCBI Virus, RefSeq	Streptococcus agalactiae	1311	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage K13	NC_024357	NCBI Virus, RefSeq	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage LYGO9	JX409894	NCBI Virus, RefSeq	Streptococcus agalactiae	1311	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage M102	NC_012884	Literature	Streptococcus mutans	1309	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage M102AD	NC_028984	NCBI Virus, RefSeq	Streptococcus mutans	1309	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage MM1 1998	DQ113772	NCBI Virus, RefSeq	Streptococcus pneumoniae	1313	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
Streptococcus phage P9	NC_009819	NCBI Virus, RefSeq	Streptococcus equi	1336	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus dysgalactiae group	species
Streptococcus phage PH10	NC_012756	NCBI Virus, RefSeq	Streptococcus oralis	1303	Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus	species
