virus_name	viral_acc	report_host	gcf	find_taxrank
Mycobacterium phage Bella96	NC_051616	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BellusTerra	NC_023562	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Benedict	NC_042331	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Benvolio	NC_054806	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bernal13	NC_024135	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bernardo	NC_022983	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bethlehem	NC_009878	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Big3	NC_052419	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BigNuz	NC_023692	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BigPaolini	NC_052420	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bigswole	NC_054715	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BillKnuckles	NC_023739	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bipolar	NC_028823	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bipper	NC_031253	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bircsak	NC_052421	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BirdsNest	NC_051581	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Blexus	NC_051635	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Blinn1	NC_054779	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Blue	NC_052423	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Blue7	NC_023713	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bluefalcon	NC_054777	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Bo4	KC787107	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Bo4	KC787107	Mycobacterium tuberculosis	GCF_000195955.2	species
Mycobacterium phage Bob3	NC_052424	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BobaPhett	NC_051636	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bobi	NC_022055	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BodEinwohner17	NC_051637	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bones	NC_052425	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bongo	NC_041970	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Boomer	NC_011054	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BPBiebs31	NC_042327	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Breeniome	NC_029044	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Breezona	KC691254	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Brocalys	NC_031262	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bromden	NC_053510	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BrownCNA	NC_028968	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bruin	NC_022988	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Brujita	NC_011291	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bruns	NC_023687	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Brusacoram	NC_028747	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bryler	NC_051600	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BTCU-1	NC_021533	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Bubbles123	NC_051638	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bugsy	NC_054807	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Burwell21	NC_051639	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Butters	NC_021061	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Butterscotch	FJ168660	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage BuzzLyseyear	NC_026593	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bxb1	NC_002656	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Bxb1	NC_002656	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Bxz1	NC_004687	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Bxz1	NC_004687	Mycolicibacterium vaccae	GCF_001655245.1	species
Mycobacterium phage ByChance	NC_051640	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Byougenkin	NC_051641	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cabrinians	NC_028678	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cali	NC_011271	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cambiare	NC_028922	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Camperdownii	NC_054799	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cane17	NC_054716	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage CaptainTrips	NC_028842	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Carcharodon	NC_028779	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage CASbig	NC_021324	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Catalina	NC_031238	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Catdawg	NC_022057	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Catera	NC_008207	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage CELFI	NC_053506	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Centaur	NC_054808	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cerasum	NC_026604	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cerulean	NC_054795	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Chadwick	NC_028897	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Chah	FJ174694	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Chandler	KP027207	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Charlie	NC_023729	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage CharlieB	NC_054717	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cheetobro	NC_028979	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Chris	NC_051617	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage ChrisnMich	NC_042034	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Chuckly	NC_051642	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Chy4	NC_021338	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Chy4	NC_021338	Mycobacterium tuberculosis	GCF_000195955.2	species
Mycobacterium phage Chy5	NC_021318	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Chy5	NC_021318	Mycobacterium tuberculosis	GCF_000195955.2	species
Mycobacterium phage CicholasNage	NC_055786	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cindaradix	NC_054804	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cintron	NC_054797	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Clifton	NC_051643	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage CloudWang3	NC_022965	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Coco12	NC_051644	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Colbert	NC_028689	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage ConceptII	NC_052426	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Conspiracy	NC_022973	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Contagion	NC_022065	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cooper	NC_008195	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Cornie	NC_048850	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cornucopia	NC_051645	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Corvo	NC_052427	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cosmo	KP027195	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage CRB1	NC_023606	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage CRB1	NC_023606	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage CRB2	NC_051585	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Crispicous1	NC_052428	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Crossroads	NC_022071	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Cuke	NC_048696	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Cuke	NC_048696	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Curiosium	NC_051618	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage D29	NC_001900	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Daenerys	NC_022068	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Damien	NC_024371	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Dandelion	NC_023696	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Dante	NC_028946	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DarthP	NC_051607	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DarthPhader	NC_054785	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DaVinci	JF937092	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DaWorst	NC_051646	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DD5	NC_011022	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Demsculpinboyz	NC_051722	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Dhanush	KC661271	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DillTech15	NC_051647	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DirkDirk	NC_055827	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage DNAIII	KC787108	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage DNAIII	KC787108	Mycobacterium tuberculosis	GCF_000195955.2	species
Mycobacterium phage Donkeykong	NC_051648	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Donovan	NC_023552	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Dori	NC_023703	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Doug	NC_051649	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage DRBy19	NC_051650	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage DrDrey	NC_022059	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Dreamboat	NC_023708	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DrLupo	NC_048743	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DroogsArmy	NC_054789	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage DroogsArmy	NC_054789	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DS6A	NC_023744	Mycobacterium tuberculosis	GCF_000195955.2	species
Mycobacterium phage Dulcie	NC_052429	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Dumbo	NC_021306	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Dusk	NC_029079	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Dylan	NC_022325	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage DyoEdafos	NC_053511	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Eagle	HM152766	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage EagleEye	NC_023564	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Echild	NC_023553	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Edtherson	NC_029059	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Eish	NC_051651	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Ekdilam	NC_051608	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage EleanorGeorge	NC_051652	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Elph10	JN391441	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Emerson	KJ567045	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Emma	NC_051653	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Empress	NC_051654	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage EmpTee	KJ567044	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Enby	NC_051655	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Enkosi	NC_028936	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Eponine	NC_051590	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Equemioh13	NC_028852	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Eremos	NC_028690	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Estave1	NC_026585	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Estes	NC_053514	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage ET08	NC_013650	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage EvilGenius	NC_031263	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Fajezeel	NC_052430	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Fajezeel	NC_052430	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Fameo	NC_054809	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Fancypants	NC_051656	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Fang	GU247133	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Farber	KM233455	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Fezzik	JN600672	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage FF47	NC_021063	Mycobacterium avium subsp. paratuberculosis	GCF_016749935.1	subspecies
Mycobacterium phage FF47	NC_021063	Mycobacterium avium subsp. paratuberculosis ATCC 19698	GCF_016749935.1	subspecies
Mycobacterium phage Filuzino	NC_051657	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Findley	NC_051598	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Finemlucis	NC_053507	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Firehouse51	NC_051658	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage First	NC_020876	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage First	NC_020876	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage FirstPlacePfu	NC_051735	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Fishburne	NC_021302	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage FlagStaff	NC_028861	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Flathead	NC_051659	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Florinda	NC_028889	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Florinda	NC_028889	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage FluffyNinja	KP027197	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Flux	JQ809701	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Fortunato	NC_055714	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Fowlmouth	NC_048734	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Frankie	NC_051660	Mycolicibacterium phlei	GCF_001583415.1	species
Mycobacterium phage Fredward	NC_022753	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Fulbright	NC_054453	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Gadjet	NC_023686	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Gadost	KP027198	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage GageAP	NC_052431	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Gaia	NC_026590	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Gail	NC_055858	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Galactic	NC_051661	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Gandalph	NC_051662	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Gardann	NC_031124	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Gengar	NC_031035	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Georgie2	NC_054810	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Geralt	NC_055730	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Giles	NC_009993	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Girr	NC_051663	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Gizmo	NC_021346	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Godines	NC_042050	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Godines	NC_042050	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Goku	NC_022085	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Gomashi	KM923970	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Gorge	NC_051664	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Graduation	NC_022979	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage GreaseLightnin	NC_051731	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Grizzly	NC_054442	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Gumball	NC_011290	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Guo1	KJ725374	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage GuuelaD	NC_053508	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Gyarad	JX649099	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Hamulus	NC_022056	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage HanShotFirst	NC_022975	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Harley	NC_051665	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage HarryOW	NC_052432	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Harvey	JF937095	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Hawkeye	NC_024209	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Heath	NC_055860	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Heathcliff	KJ194584	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Hedgerow	JN698991	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Heffalump	NC_054811	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Hegedechwinu	NC_051666	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Henry	JF937096	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Henu3	NC_051589	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Henu3 PeY-2017	NC_051667	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Hertubise	JF937097	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage HH92	KJ538722	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage HINdeR	NC_021308	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Hlubikazi	NC_051668	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Hope	GQ303261	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Hosp	NC_024145	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage HufflyPuff	NC_022981	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Hurricane	NC_051604	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage HyRo	NC_028869	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Ichabod	NC_052433	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage ICleared	NC_054800	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage ILeeKay	NC_052434	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Imvubu	NC_051586	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Indlulamithi	NC_048824	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Inventum	NC_026596	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Iracema64	NC_028687	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage IronMan	NC_054814	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage IsaacEli	JN698990	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Island3	HM152765	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Jabbawokkie	NC_022069	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage JacAttac	NC_023740	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage JackSparrow	NC_052435	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage JackSparrow	NC_052435	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage JAMaL	NC_023554	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Jamie19	NC_054456	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Jebeks	NC_041969	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Jeeves	NC_055817	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage JewelBug	NC_054780	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Job42	NC_021538	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Jobu08	NC_021535	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Jolie1	NC_023600	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Jolie2	NC_023604	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Jorgensen	NC_052436	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage JoshKayV	NC_054812	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Jovo	NC_022984	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Juice456	NC_051670	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Jung	NC_051730	Mycolicibacterium smegmatis	GCF_013349145.1	species
Mycobacterium phage Jung	NC_051730	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
Mycobacterium phage Kamiyu	JN699018	Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	strain
